Frame,X,Y
0,832,430
1,830,428
2,830,429
3,831,429
4,831,430
5,830,430
6,829,429
7,830,429
8,831,429
9,830,429
10,830,429
11,832,430
12,830,429
13,829,429
14,829,429
15,829,428
16,829,429
17,830,429
18,829,429
19,829,429
20,829,429
21,829,429
22,829,429
23,828,429
24,828,429
25,831,429
26,830,429
27,830,429
28,830,429
29,830,429
30,831,429
31,831,429
32,830,429
33,830,429
34,831,430
35,831,430
36,831,429
37,830,429
38,830,429
39,830,429
40,830,429
40,934,139
41,831,429
41,828,117
42,830,429
42,735,116
43,828,429
43,657,117
44,830,429
44,573,122
45,832,429
45,475,126
46,831,429
46,384,128
47,831,430
47,307,140
48,831,429
48,235,158
49,831,430
49,167,180
50,831,430
50,102,204
51,832,429
51,47,230
52,830,429
52,21,244
53,831,429
54,831,429
55,830,429
56,831,429
57,830,429
58,831,429
59,831,430
60,833,430
61,830,429
62,832,430
63,833,429
64,833,430
65,833,430
66,832,429
67,832,429
68,830,429
69,830,429
70,833,430
71,831,429
72,831,429
73,831,429
74,830,429
75,830,429
76,831,429
77,830,429
78,830,429
79,830,429
80,830,429
81,832,430
82,829,429
83,830,429
84,830,429
85,830,429
86,830,429
87,830,429
88,830,429
89,830,429
90,829,429
91,831,429
92,831,429
93,830,429
94,830,429
95,830,429
96,831,429
97,830,429
98,831,429
99,830,429
100,831,429
101,830,429
102,831,429
103,831,429
104,830,429
105,830,429
106,830,429
107,831,429
108,831,429
109,831,429
110,831,429
111,831,429
112,831,429
113,830,429
114,831,430
115,831,429
116,831,429
117,831,429
118,831,429
119,831,429
120,831,429
121,830,429
122,831,429
123,830,429
124,830,429
125,830,429
126,831,429
127,830,429
128,830,429
129,831,429
130,831,429
131,831,429
132,831,430
133,831,429
134,831,429
135,832,430
136,831,429
137,830,429
138,830,429
139,830,429
140,831,429
141,831,429
142,832,429
143,830,429
144,831,429
145,831,429
146,831,428
147,831,429
148,829,429
