Frame,X,Y
0,832,430
1,830,428
2,830,429
3,831,429
4,831,430
5,830,430
6,829,429
7,830,429
8,831,429
9,830,429
10,830,429
11,832,430
12,830,429
13,829,429
14,829,429
15,829,428
16,829,429
17,830,429
18,829,429
19,829,429
20,829,429
21,829,429
22,829,429
23,828,429
24,828,429
25,831,429
26,830,429
27,830,429
28,830,429
29,830,429
30,831,429
31,831,429
32,830,429
33,830,429
34,831,430
35,831,430
36,831,429
37,830,429
38,830,429
39,830,429
40,830,429
40,934,139
41,831,429
41,828,117
42,830,429
42,735,116
43,828,429
43,657,117
44,830,429
44,573,122
45,832,429
45,475,126
46,831,429
46,384,128
47,831,430
47,307,140
48,831,429
48,235,158
49,831,430
49,167,180
50,831,430
50,102,204
51,832,429
51,47,230
52,830,429
52,21,244
53,831,429
54,831,429
55,830,429
56,831,429
57,830,429
58,831,429
59,831,430
60,833,430
61,830,429
62,832,430
63,833,429
