Frame,X,Y
0,831,434
1,831,434
2,831,433
3,832,433
4,833,434
5,833,434
6,834,436
7,832,434
8,833,434
9,832,433
10,831,433
11,832,434
12,832,434
13,832,432
14,832,434
15,832,434
16,833,434
17,832,433
18,832,434
19,833,434
20,833,434
21,832,434
22,831,434
23,831,433
24,832,433
25,833,434
26,834,434
26,830,344
27,833,434
28,834,434
28,610,385
29,833,434
29,538,393
30,833,433
30,462,399
31,832,433
31,392,409
32,832,434
32,328,421
33,268,431
33,832,434
34,215,443
34,834,434
35,166,453
35,833,434
36,124,463
36,830,433
37,87,473
37,832,433
38,55,482
38,832,433
39,832,433
40,833,434
41,832,434
42,830,433
43,832,433
44,831,433
45,832,433
46,833,434
47,833,434
48,832,433
49,832,433
50,832,434
51,834,434
52,832,434
53,832,433
54,831,433
55,831,434
56,833,434
57,833,434
58,832,433
59,833,434
60,833,434
61,834,434
62,833,434
63,834,434
64,833,434
65,833,434
66,833,434
67,834,434
68,834,433
69,833,434
70,832,434
71,833,433
72,833,434
73,833,434
74,832,431
75,832,434
76,833,433
77,832,433
78,833,432
79,833,433
